name,rgb_scaled,R,G,B
White,#FFFFFF,0.99609375,0.99609375,0.99609375
Ivory,#FFFFF0,0.99609375,0.99609375,0.9375
Light yellow,#FFFFE0,0.99609375,0.99609375,0.875
Lemon yellow (Crayola),#FFFF9F,0.99609375,0.99609375,0.62109375
Canary,#FFFF99,0.99609375,0.99609375,0.59765625
Laser lemon,#FFFF66,0.99609375,0.99609375,0.3984375
Yellow,#FFFF00,0.99609375,0.99609375,0
Cream,#FFFDD0,0.99609375,0.98828125,0.8125
Snow,#FFFAFA,0.99609375,0.9765625,0.9765625
Floral white,#FFFAF0,0.99609375,0.9765625,0.9375
Lemon chiffon,#FFFACD,0.99609375,0.9765625,0.80078125
Cosmic latte,#FFF8E7,0.99609375,0.96875,0.90234375
Cornsilk,#FFF8DC,0.99609375,0.96875,0.859375
Lemon,#FFF700,0.99609375,0.96484375,0
Cadmium yellow,#FFF600,0.99609375,0.9609375,0
Seashell,#FFF5EE,0.99609375,0.95703125,0.9296875
Lemon yellow,#FFF44F,0.99609375,0.953125,0.30859375
Lavender blush,#FFF0F5,0.99609375,0.9375,0.95703125
Papaya whip,#FFEFD5,0.99609375,0.93359375,0.83203125
Canary yellow,#FFEF00,0.99609375,0.93359375,0
Blanched almond,#FFEBCD,0.99609375,0.91796875,0.80078125
Middle yellow,#FFEB00,0.99609375,0.91796875,0
Peach,#FFE5B4,0.99609375,0.89453125,0.703125
Misty rose,#FFE4E1,0.99609375,0.890625,0.87890625
Bisque,#FFE4C4,0.99609375,0.890625,0.765625
Golden yellow,#FFDF00,0.99609375,0.87109375,0
Navajo white,#FFDEAD,0.99609375,0.8671875,0.67578125
Pink lace,#FFDDF4,0.99609375,0.86328125,0.953125
Unbleached silk,#FFDDCA,0.99609375,0.86328125,0.7890625
Mustard,#FFDB58,0.99609375,0.85546875,0.34375
Sizzling Sunrise,#FFDB00,0.99609375,0.85546875,0
Mimi pink,#FFDAE9,0.99609375,0.8515625,0.91015625
Peach puff,#FFDAB9,0.99609375,0.8515625,0.72265625
School bus yellow,#FFD800,0.99609375,0.84375,0
Gold (web) (Golden),#FFD700,0.99609375,0.83984375,0
Cyber yellow,#FFD300,0.99609375,0.82421875,0
Sunglow,#FFCC33,0.99609375,0.796875,0.19921875
Peach (Crayola),#FFCBA4,0.99609375,0.79296875,0.640625
Buff,#FFC680,0.99609375,0.7734375,0.5
Mikado yellow,#FFC40C,0.99609375,0.765625,0.046875
Pink,#FFC0CB,0.99609375,0.75,0.79296875
Amber,#FFBF00,0.99609375,0.74609375,0
Macaroni and Cheese,#FFBD88,0.99609375,0.73828125,0.53125
Cotton candy,#FFBCD9,0.99609375,0.734375,0.84765625
Selective yellow,#FFBA00,0.99609375,0.7265625,0
Cherry blossom pink,#FFB7C5,0.99609375,0.71484375,0.76953125
Light pink,#FFB6C1,0.99609375,0.7109375,0.75390625
Chinese yellow,#FFB200,0.99609375,0.6953125,0
Yellow Orange,#FFAE42,0.99609375,0.6796875,0.2578125
Bright yellow (Crayola),#FFAA1D,0.99609375,0.6640625,0.11328125
Chrome yellow,#FFA700,0.99609375,0.65234375,0
Carnation pink,#FFA6C9,0.99609375,0.6484375,0.78515625
Orange (web),#FFA500,0.99609375,0.64453125,0
Neon Carrot,#FFA343,0.99609375,0.63671875,0.26171875
Vivid tangerine,#FFA089,0.99609375,0.625,0.53515625
Light salmon,#FFA07A,0.99609375,0.625,0.4765625
Orange peel,#FF9F00,0.99609375,0.62109375,0
Atomic tangerine,#FF9966,0.99609375,0.59765625,0.3984375
Deep saffron,#FF9933,0.99609375,0.59765625,0.19921875
Yellow Orange (Color Wheel),#FF9505,0.99609375,0.58203125,0.01953125
Strawberry Blonde,#FF9361,0.99609375,0.57421875,0.37890625
Baker-Miller pink,#FF91AF,0.99609375,0.56640625,0.68359375
Salmon pink,#FF91A4,0.99609375,0.56640625,0.640625
Dark orange,#FF8C00,0.99609375,0.546875,0
Mango Tango,#FF8243,0.99609375,0.5078125,0.26171875
Coral,#FF7F50,0.99609375,0.49609375,0.3125
Orange,#FF7F00,0.99609375,0.49609375,0
Amber (SAE/ECE),#FF7E00,0.99609375,0.4921875,0
Heat Wave,#FF7A00,0.99609375,0.4765625,0
Safety orange,#FF7800,0.99609375,0.46875,0
Orange (Crayola),#FF7538,0.99609375,0.45703125,0.21875
Pumpkin,#FF7518,0.99609375,0.45703125,0.09375
Shocking pink (Crayola),#FF6FFF,0.99609375,0.43359375,0.99609375
Outrageous Orange,#FF6E4A,0.99609375,0.4296875,0.2890625
Hot pink,#FF69B4,0.99609375,0.41015625,0.703125
Orange-red,#FF681F,0.99609375,0.40625,0.12109375
Safety orange (blaze orange),#FF6700,0.99609375,0.40234375,0
Rose pink,#FF66CC,0.99609375,0.3984375,0.796875
Tomato,#FF6347,0.99609375,0.38671875,0.27734375
Portland Orange,#FF5A36,0.99609375,0.3515625,0.2109375
Orange (Pantone),#FF5800,0.99609375,0.34375,0
Brilliant rose,#FF55A3,0.99609375,0.33203125,0.63671875
Fiery rose,#FF5470,0.99609375,0.328125,0.4375
Orange-red (Crayola),#FF5349,0.99609375,0.32421875,0.28515625
International orange (aerospace),#FF4F00,0.99609375,0.30859375,0
Infrared,#FF496C,0.99609375,0.28515625,0.421875
Red-orange (Color wheel),#FF4500,0.99609375,0.26953125,0
Wild Strawberry,#FF43A4,0.99609375,0.26171875,0.640625
Sizzling Red,#FF3855,0.99609375,0.21875,0.33203125
Coquelicot,#FF3800,0.99609375,0.21875,0
Radical Red,#FF355E,0.99609375,0.20703125,0.3671875
Razzle dazzle rose,#FF33CC,0.99609375,0.19921875,0.796875
Scarlet,#FF2400,0.99609375,0.140625,0
Hot magenta,#FF1DCE,0.99609375,0.11328125,0.8046875
Deep pink,#FF1493,0.99609375,0.078125,0.57421875
Candy apple red,#FF0800,0.99609375,0.03125,0
Fuchsia,#FF00FF,0.99609375,0,0.99609375
Magenta (process),#FF0090,0.99609375,0,0.5625
Rose,#FF007F,0.99609375,0,0.49609375
Winter Sky,#FF007C,0.99609375,0,0.484375
Red,#FF0000,0.99609375,0,0
Baby powder,#FEFEFA,0.9921875,0.9921875,0.9765625
Yellow (RYB),#FEFE33,0.9921875,0.9921875,0.19921875
Yellow (Pantone),#FEDF00,0.9921875,0.87109375,0
Light orange,#FED8B1,0.9921875,0.84375,0.69140625
Melon,#FEBAAD,0.9921875,0.7265625,0.67578125
Bittersweet,#FE6F5E,0.9921875,0.43359375,0.3671875
Purple pizzazz,#FE4EDA,0.9921875,0.3046875,0.8515625
Neon fuchsia,#FE4164,0.9921875,0.25390625,0.390625
